Symbol,Company Name,Industry,Market Cap
ASAN,Asana,Software,8710
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,308
ASAX,Astrea Acquisition,Blank Check / SPAC,215
ASB,Associated Banc-Corp,Banks,3510
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",155
ASCA,A SPAC I Acquisition,Blank Check / SPAC,82
ASGN,ASGN Incorporated,Professional Services,5590
ASH,Ashland Global Holdings,Chemicals,4940
ASIX,AdvanSix,Chemicals,1210
ASLE,AerSale,Airports & Air Services,802
ASLN,ASLAN Pharmaceuticals,Biotechnology,53
ASM,Avino Silver & Gold Mines,Metals & Mining,90
ASMB,Assembly Biosciences,Biotechnology,71
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,246250
ASND,Ascendis Pharma,Biotechnology,6010
ASO,Academy Sports and Outdoors,Specialty Retail,2860
ASPA,Abri SPAC I,Blank Check / SPAC,74
ASPC,Alpha Capital Acquisition Company,Blank Check / SPAC,284
ASPN,Aspen Aerogels,Energy Equipment & Services,931
ASPS,Altisource Portfolio Solutions,Real Estate Management & Development,169
ASPU,Aspen Group,Diversified Consumer Services,27
ASR,Grupo Aeroportuario del Sureste,Transportation Infrastructure,6090
ASRT,Assertio Holdings,Pharmaceuticals,98
ASRV,AmeriServ Financial,Banks,71
ASTC,Astrotech,Aerospace & Defense,35
ASTE,Astec Industries,Machinery,1080
ASTL,Algoma Steel Group,Steel,1500
ASTR,Astra Space,Aerospace & Defense,829
ASTS,AST SpaceMobile,Telecom Services,1240
ASUR,Asure Software,Software,140
ASX,ASE Technology Holding Company,Semiconductors & Semiconductor Equipment,15160
ASXC,Asensus Surgical,Medical Devices,166
ASYS,Amtech Systems,Semiconductors & Semiconductor Equipment,140
ASZ,Austerlitz Acquisition II,Blank Check / SPAC,1920
ATA,Americas Technology Acquisition,Blank Check / SPAC,148
ATAI,ATAI Life Sciences,Biotechnology,821
ATAK,Aurora Technology Acquisition,Blank Check / SPAC,274
