Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
HDFC Bank Ltd.,HDFCBANK,500180,INE040A01034,1574.7,Banks,41.1,1.1,27,36.8,20.9,22,1757.5,430.2,18.8,0.9,6.3,6.3,1192638.6,-20.5,1624.1,1606.7,10.4,37.4,35.6
HDFC Life Insurance Company Ltd.,HDFCLIFE,540777,INE795G01014,641.4,Life Insurance,405.4,35.8,1.9,0.1,3.1,5.5,775.6,,46,0.1,0.6,0.6,137887.9,-2.2,632,589.6,7.2,50.3,55.8
Healthcare Global Enterprises Ltd.,HCG,539787,INE075I01017,350.4,Healthcare Facilities,17.7,-2.8,1,17.5,-45.4,21.1,356.4,,63.6,0.4,5.3,8.5,4880.2,5.4,329.2,302.6,1.7,69.8,69.4
HEG Ltd.,HEG,509631,INE545A01016,1745.2,Other Industrial Goods,-9.1,-3.4,18.4,24,23.5,12.9,4955,1024.5,39.6,,13.1,14.3,6735.9,25.8,1646.9,1360.2,5.4,54.7,55
Heidelberg Cement India Ltd.,HEIDELBERG,500292,INE578A01017,192.2,Cement & Cement Products,-27.3,-0.8,4.4,10.9,-60.7,-2.7,285,559.5,65.2,0.1,18.7,10,4356.6,2,181.1,180.2,17.5,60.2,58
Hemisphere Properties India Ltd.,HEMIPROP,543242,INE0AJG01018,118.3,Realty,30.1,-9.5,-323.3,-91.8,56.4,169.9,201.8,,97.8,0.2,-3,-0.3,3371.6,3.2,109.7,103.1,6.7,58.9,56.7
Heranba Industries Ltd.,HERANBA,543266,INE694N01015,366.5,Agrochemicals,8.6,,7.9,11.7,,,945,,39.9,,,17.7,1466.5,-2,360.7,398.8,39.3,54.5,52.6
Hercules Hoists Ltd.,HERCULES,505720,INE688E01024,351.1,Industrial Machinery,-23.6,,68.5,9.9,591.5,35.4,369.8,314.3,50.3,,3.1,4.1,1123.5,4.6,304,245.8,5.1,47.9,67.2
Heritage Foods Ltd.,HERITGFOOD,519552,INE978A01027,256,Packaged Foods,42.6,-4.3,2,4.3,-40,20.8,889,144,67.6,,20.8,11.6,2376,2.4,239.4,236.7,32.6,53.9,53.5
Hero MotoCorp Ltd.,HEROMOTOCO,500182,INE158A01026,2927.4,2/3 Wheelers,20.4,1.9,8.2,11.8,21.3,15.3,4092,43,27.6,,19.5,22.1,58501.7,-26,2964.8,2789.8,9.8,45.6,41.9
Hester Biosciences Ltd.,HESTERBIO,524669,INE782E01017,1719.4,Pharmaceuticals,6.1,-7,8.9,18,-32.6,13.1,3134,,38.9,0.7,12.3,8.6,1462.6,-3.2,1712.5,1794,24.4,49.8,51.7
Heubach Colorants India Ltd.,HEUBACHIND,506390,INE492A01029,461.4,Specialty Chemicals,-8.2,-1.1,2.5,8,-55.7,-9,1185,-0.3,65.2,,11.7,10.4,1064.9,15.5,402.3,373,2.9,64.7,66
HFCL Ltd.,HFCL,500183,INE548A01028,74.8,Telecom Cables,8,2.2,6.7,12.9,-3.9,0.4,101.4,939.6,29.6,,20.5,17.5,10312.5,1.7,68,68.1,15.7,65.4,72
HG Infra Engineering Ltd.,HGINFRA,541019,INE926X01010,922.9,Construction & Engineering,43.8,0.3,10.6,19.3,29.8,23.5,995.5,,32.4,0.8,26,23.6,6014.6,2.3,916.8,812.9,7.3,53.6,51.1
Hikal Ltd.,HIKAL,524735,INE475B01022,308.4,Pharmaceuticals,6.1,-5.9,3.9,12.7,-51.2,4.2,742,453.8,38.9,0.4,17.3,8.9,3803.2,-1.1,295.2,313.6,27.9,50.7,54.2
HIL Ltd.,HIL,509675,INE557A01011,2993.5,Cement & Cement Products,-27.3,-0.5,2.8,6.4,-53.9,-1.3,6758,924.8,65.2,0.2,20.6,8.6,2256.4,-7.9,2995.7,2911.4,21.2,43.9,48.5
Himadri Speciality Chemical Ltd.,HSCL,500184,INE019C01026,233.4,Specialty Chemicals,-8.2,0.1,5.2,9.5,427.5,50.1,234.6,1674.5,65.2,,5.6,15.5,10254.8,19.9,159.7,121.9,0.6,90.8,90.6
Himatsingka Seide Ltd.,HIMATSEIDE,514043,INE049A01027,147.6,Textiles,-85.9,-2.4,-2.4,9.8,-145.5,-14.1,443.8,351.4,31.3,1,11,5.4,1453.2,6.8,129.3,109.8,7.6,64.8,63.8
Hindalco Industries Ltd.,HINDALCO,500440,INE038A01020,473.2,Aluminium and Aluminium Products,-37.6,-0.3,4.5,10.1,-26.5,14.4,636,350.5,11.8,0.5,15.6,10.2,106349.5,2.8,445,434.4,6.1,54.2,56
Hinduja Global Solutions Ltd.,HGS,532859,INE170I01016,1005.6,BPO/KPO,-77.6,-0.2,7.8,4.9,-94.3,47.2,1960,793.8,24,,1.8,3.2,4678.3,-12.2,1046,1129.1,34.2,37.2,36.1
Hindustan Aeronautics Ltd.,HAL,541154,INE066F01012,3941.8,Defence,16.1,2.3,21.6,25.4,14.7,11.7,4135,,35.8,,15.8,18,131807.2,33.8,3764.9,3135.6,4.7,54.4,54
Hindustan Construction Company Ltd.,HCC,500185,INE549A01026,29,Construction & Engineering,43.8,,-0.4,5.8,-107,-8.4,49,195.9,32.4,-6.8,51.8,8.2,4387.8,2.1,22.8,18.6,4.3,73.7,70.6
Hindustan Copper Ltd.,HINDCOPPER,513599,INE531E01026,167.1,Copper,-20.6,-2.2,17.6,27.7,-21,-5.3,196.8,199.7,52.2,,18.8,19.2,16159,5.4,135.6,118.7,0.6,62.7,65.4
Hindustan Foods Ltd.,HNDFDS,519126,INE254N01026,549.2,Packaged Foods,42.6,1.3,2.7,6.7,59.2,27.3,749,,67.6,1,15.4,16.9,6192.4,-5.2,557.9,549.3,26.7,44,45.6
Hindustan Media Ventures Ltd.,HMVL,533217,INE871K01015,67.6,Publishing,-22.6,0.4,-5.7,-10.9,-193.8,6,314,-43.7,23,,3.5,-2.6,497.7,1.4,65.8,59.6,11,48.3,48.3
Hindustan Oil Exploration Company Ltd.,HINDOILEXP,500186,INE345A01011,166,Exploration & Production,-11.5,,34.7,55,870.5,239.6,258,463.7,5.9,0.1,5.4,19,2195.2,-15.6,197,176.2,35.6,34,33.2
Hindustan Petroleum Corporation Ltd.,HINDPETRO,500104,INE094A01015,250.2,Refineries/Petro-Products,-18.9,,-2.1,-1.6,-195.7,25.5,492.8,571.3,23.6,1.5,10.4,-11.8,35499.2,-6,269.9,257.2,19.2,35.5,28.3
Hindustan Unilever Ltd.,HINDUNILVR,500696,INE030A01027,2504.8,Personal Products,6.7,4.6,16.7,23.2,14,15.9,2859.3,296.7,57.5,,20.3,22.1,588525.6,-18.6,2585.2,2571.8,9.6,40.7,35.9
Hindustan Zinc Ltd.,HINDZINC,500188,INE267A01025,319.7,Zinc,9.2,-1.1,30.8,49.3,9.2,15.7,408.6,158.3,14.3,0.1,37.6,86.7,135083.4,-0.4,316.8,313.4,16.5,55.8,52
Hindware Home Innovation Ltd.,HINDWAREAP,542905,INE05AN01011,591.4,Household Appliances,-7.4,-1.6,2.3,8.5,-71.7,25.2,664.1,,76.9,0.6,20.6,15.1,4275.6,-4,555.2,467.2,10.9,50.2,55.5
Hitachi Energy India Ltd.,POWERINDIA,543187,INE07Y701011,4380.9,Heavy Electrical Equipment,74.7,-5.4,2.1,5.3,-53.8,-9.4,4800,,80.4,,23.7,13.5,18567,91.7,4239.6,3740.1,8.7,55.5,52.3
Hitech Corporation Ltd.,HITECHCORP,526217,INE120D01012,235.9,Containers & Packaging,-54.8,-0.8,5.1,13.2,-24.2,-4.9,338,574,27.8,0.1,21.5,17.7,405.2,1.9,232,219.5,15.2,50.3,47.5
Hi-Tech Pipes Ltd.,HITECH,543411,INE106T01025,77.2,Iron & Steel Products,7.9,1.7,1.6,4.3,-6.6,27,99,,45.6,0.2,21.6,17,1009.2,-0.8,78,76.2,22,46.4,48.5
HLE Glasscoat Ltd.,HLEGLAS,522215,INE461D01028,583.8,Industrial Machinery,-23.6,8.7,7.5,14.6,20,42.3,1510,,50.3,0.3,25.4,24.8,3985.7,-15.8,611.4,634.6,28.4,39.8,39.2
HLV Ltd.,HLVLTD,500193,INE102A01024,18.2,Hotels,516.2,0.7,4.4,8.7,118,139.6,31,18.9,54.7,,-6.5,3.3,1203.1,0.1,13.6,12,3.9,46.8,73.6
Home First Finance Company India Ltd.,HOMEFIRST,543259,INE481N01025,863.3,Housing Finance ,13681.1,1.4,28.9,75.9,22.7,33.6,1004.6,,15.7,0.2,27.8,27.5,7610.7,2.4,822.3,775.1,11.2,42.6,48.6
Honda India Power Products Ltd.,HONDAPOWER,522064,INE634A01018,2638.2,Industrial Machinery,-23.6,0.4,6.8,10.7,14.2,7.9,2918,774,50.3,,15,18.1,2675.9,113.3,2317.5,2137.4,9.6,79,78.2
Honeywell Automation India Ltd.,HONAUT,517174,INE671A01010,39397.6,Other Electrical Equipment/Products,22,3.1,12.7,14.5,29.2,18,49990,1543.9,63.4,,16,18.5,34833.4,-579.7,41190.1,39922.8,10.8,37.3,33.5
Housing and Urban Development Corporation Ltd.,HUDCO,540530,INE031A01017,76.4,Housing Finance ,13681.1,12.9,24.1,95.6,-0.9,1.3,102.3,,15.7,,9.8,40.3,15294.5,3.2,65.7,54.8,1,70.4,64.9
HP Adhesives Ltd.,HPAL,543433,INE0GSL01016,531,Other Industrial Products,16.5,,4.7,8.1,80.8,40.9,540,,64.1,,7.7,12.1,975.8,15.6,477,421.6,1.7,60.5,63.8
HPL Electric & Power Ltd.,HPL,540136,INE495S01016,232.8,Heavy Electrical Equipment,74.7,-5.2,2.4,12.4,288.2,24.3,244.7,,80.4,0.1,9.7,13.9,1496.9,8.5,189.2,130.7,4.9,59.1,61.2
HT Media Ltd.,HTMEDIA,532662,INE501G01024,24,Publishing,-22.6,,-14.8,-7.4,-1377.6,11,145.1,-73.2,23,,2.5,-5,559.8,0.6,22.2,20.8,8.6,55.4,61
Huhtamaki India Ltd.,HUHTAMAKI,509820,INE275B01026,259.4,Containers & Packaging,-54.8,,1.7,5.2,318.8,13.9,373.8,331,27.8,0.3,2.7,8.7,1959.4,-1.6,258.8,237.1,12.9,55.2,55.8
I G Petrochemicals Ltd.,IGPL,500199,INE204A01010,502.8,Petrochemicals,10.6,-0.2,8.5,13.4,-24.4,25.6,1018.6,2956.8,18.7,0.1,29.3,19.5,1548.5,10.7,475.7,493.8,21.8,71.2,60.4
ICICI Bank Ltd.,ICICIBANK,532174,INE090A01021,968.7,Banks,41.1,0.6,28.5,28.6,35.5,18.2,1008.7,562.9,18.8,0.9,5.1,5.6,678123.4,-1.4,960.2,913,4,45.4,45.3
ICICI Lombard General Insurance Company Ltd.,ICICIGI,540716,INE765G01017,1341.4,General Insurance,266.5,1.5,9.7,7.1,36,12.1,1675,,30.5,,17.7,20.6,65911.7,-8.5,1322.4,1238.7,5.8,43.8,41.3
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,540133,INE726G01019,561.8,Life Insurance,405.4,-4.3,1.6,-0.8,7.2,-20.5,724.3,,46,0.1,0.5,0.6,80865,-2.5,550.4,508.2,8.7,52.2,54.8
ICICI Securities Ltd.,ISEC,541179,INE763G01038,624.7,Capital Markets,-3.3,-1.1,32.7,61.4,-19.2,-0.4,896,,22.1,,69.2,59.5,20183.9,2.2,603.3,544.8,3.4,46.9,56
ICRA Ltd.,ICRA,532835,INE725G01011,5708.7,Other Financial Services,115.6,0.9,33.9,31.6,20.4,18,6249,390.1,27.7,,17.8,18.8,5509.6,111.3,5619.3,4944.6,8.6,58.2,52.6
IDBI Bank Ltd.,IDBI,500116,INE008A01015,60,Banks,41.1,0.3,17.9,35,46.3,8.3,116.4,9.5,18.8,0.3,5.8,5.7,64568.2,0.1,59.4,53.6,10.2,45.6,45.8
IDFC First Bank Ltd.,IDFCFIRSTB,539437,INE092T01019,93.4,Banks,41.1,0.2,10.9,18.4,1778.2,33.7,95.8,,18.8,2.2,6,6.6,61974.3,2.2,84.7,69.2,2.5,69.3,72.1
IDFC Ltd.,IDFC,532659,INE043D01016,123.5,Finance (including NBFCs),56.2,,2125.6,58.5,6528,57.7,188,53.4,27.2,,0.6,0.8,19759.8,2.1,114.5,94.9,2,62.5,60
IFB Agro Industries Ltd.,IFBAGRO,507438,INE076C01018,518.4,Breweries & Distilleries,18.2,-0.4,3.9,5.8,-16.1,22.9,948,299.2,78.7,,13.9,12.1,485.6,-7.2,524.5,523.2,19.4,45,48.3
IFB Industries Ltd.,IFBIND,505726,INE559A01017,960.4,Household Appliances,-7.4,0.9,0.4,3.9,131,22.8,1547,1761.1,76.9,0.1,-4.4,6.6,3891.2,27.2,860.8,862.7,15,72.5,74.7
IFCI Ltd.,IFCI,500106,INE039A01010,15.9,Financial Institutions,86.9,-0.3,-8.1,46.7,88.7,-4.8,44.7,-15.6,11.3,,-5.1,9.7,3958.5,0.4,13.5,12.3,4.5,56.5,65.7
IFGL Refractories Ltd.,IFGLEXPOR,540774,INE133Y01011,474.6,Other Industrial Goods,-9.1,0.7,5.7,10.9,2.2,9.7,514,,39.6,,10.7,9.9,1710.6,21.9,423,326.2,7.7,63.7,57.3
Igarashi Motors India Ltd.,IGARASHI,517380,INE188B01013,584,Auto Parts & Equipment,-1.9,0.6,0.8,9.1,340.1,17.9,1000.8,933.5,54.4,,1.8,4.3,1838.3,16.9,516.1,448.4,5.5,66.6,65
IIFL Finance Ltd.,IIFL,532636,INE530B01024,595.2,Other Financial Services,115.6,0.5,19.5,62.7,26.3,20.6,874,1025.1,27.7,1.2,26.5,24.4,22669,9.2,557.5,484.4,4.8,51.2,60.6
IIFL Securities Ltd.,IIFLSEC,542773,INE489L01022,80.2,Capital Markets,-3.3,55.8,18.5,33.9,-18.3,4.1,128.5,,22.1,,40.5,29.3,2453.1,3.7,68.2,65,2.8,70.4,73.5
India Cements Ltd.,INDIACEM,530005,INE383A01012,261,Cement & Cement Products,-27.3,0.1,-3,-2.5,-259.3,15.7,299,466.7,65.2,0.3,3,-3.7,8086.8,5.1,225,212,12.7,55.2,53.6
India Glycols Ltd.,INDIAGLYCO,500201,INE560A01015,769.7,Commodity Chemicals,30.6,-2.5,4.9,11,-63.2,-7.4,1152,725,44.9,0.3,6.8,7.5,2383.1,35.1,675,671.9,21.3,76.4,68.6
India Nippon Electricals Ltd.,INDNIPPON,532240,INE092B01025,474.6,Auto Parts & Equipment,-1.9,3,7.3,8.2,-58.4,14.3,715,524.3,54.4,,11.4,10.2,1073.6,3.1,449.4,414.7,6.8,58.6,61.5
India Pesticides Ltd.,IPL,543311,INE0D6701023,296.6,Agrochemicals,8.6,-1.2,16.2,21.9,-9.3,23.2,368,,39.9,,33.2,25,3415.2,9.8,223.9,232,10.1,83.9,84.1
India Tourism Development Corporation Ltd.,ITDC,532189,INE353K01014,389.6,Hotels,516.2,0.2,12.6,15.7,772.5,58.2,747,,54.7,,1.9,22,3342,10.6,357.1,340.6,8.7,63.6,64.2
Indiabulls Housing Finance Ltd.,IBULHSGFIN,535789,INE148I01020,197.1,Housing Finance ,13681.1,-2.1,13,83.9,-4.1,-3,1440,,15.7,,17,40.6,9295.2,13.4,148.6,130.9,5.1,74.3,76
Indiabulls Real Estate Ltd.,IBREALEST,532832,INE069I01010,81.2,Realty,30.1,,-103.5,-84.2,-344.9,-57.9,269.7,42.7,97.8,,2.1,-12.4,4395.7,3.1,67.1,68.8,14.1,77.8,77.9
IndiaMART InterMESH Ltd.,INDIAMART,542726,INE933S01016,3111.8,Internet Software & Services,-99.5,2.4,32.6,23,-4.6,34.7,4975,,51.8,,17.8,16.1,19053.6,10.5,3000.2,2718.9,6.7,45.3,50.5
Indian Bank,INDIANB,532814,INE562A01011,377.1,Banks,41.1,0.2,11.8,29.1,35.3,14.1,427.4,492,18.8,0.5,5.3,5.8,46965.6,13.6,354.1,297.2,9.8,53.6,52.4
Indian Energy Exchange Ltd.,IEX,540750,INE022Q01020,131.8,Exchange,-4.5,-39.8,73,70.9,-1.1,-2.1,318.7,,38.6,,53.8,46.4,11748.1,-0.3,128.1,141.2,20.4,50.9,51.1
Indian Hotels Company Ltd.,INDHOTEL,500850,INE053A01029,424.2,Hotels,516.2,0.1,16.7,30.3,504.7,85.2,427.5,842.8,54.7,,1.4,13.2,60260.5,4.9,389.4,351,0.8,68.3,70.2
Indian Hume Pipe Company Ltd.,INDIANHUME,504741,INE323C01030,285.5,Cement & Cement Products,-27.3,-0.8,3.6,8.6,-3.6,2.6,594.7,587.1,65.2,,18.7,18.5,1504.1,6.4,252.7,194.7,6,56.3,53.8
Indian Metals & Ferro Alloys Ltd.,IMFA,533047,INE919H01018,392.9,Iron & Steel/Interm.Products,-69.2,-0.2,8.4,18.1,-55.6,3.1,513,263.1,43.5,,36.5,20.4,2119.9,9.2,346.1,312.5,1.5,61.6,63.3
Indian Oil Corporation Ltd.,IOC,530965,INE242A01010,89,Oil Marketing & Distribution,-50.2,0.2,1.3,3.6,-61,42.8,154.3,155.2,10.9,0.5,17.6,9.2,125749.6,-1.1,92.6,85.7,12.2,37.3,31.4
Indian Overseas Bank,IOB,532388,INE565A01014,30.1,Banks,41.1,1,10.8,25.3,23.1,8.7,90,-23.9,18.8,0.8,5.6,5.6,56896.3,1.2,28.1,25.3,18,61.2,59.1
Indian Railway Catering & Tourism Corporation Ltd.,IRCTC,542830,INE335Y01020,688.4,Travel Support Services,138.2,2.8,28.4,34.9,51.6,87.6,1279.3,,53.3,,44.1,49.8,55068,9.1,644.9,644.7,11.2,63.1,62.7
Indian Railway Finance Corporation Ltd.,IRFC,543257,INE053F01010,55.8,Finance (including NBFCs),56.2,-41.8,26.5,99.3,4.1,17.9,56.5,,27.2,,48.6,52.1,72856.9,2.8,42,33.6,1.3,70.4,71.4
Indigo Paints Ltd.,INDIGOPNTS,543258,INE09VQ01012,1583.2,Furniture-Furnishing-Paints,21.2,1,12.3,16.8,57,18.2,3330,,63.5,,17.1,19.7,7537.3,10.7,1499,1401.7,6.5,59.6,58.7
Indo Amines Ltd.,INDOAMIN,524648,INE760F01028,118.4,Commodity Chemicals,30.6,0.2,4.3,9.2,77.4,19.2,176.4,,44.9,0.3,20.2,25.7,837.1,1,113.3,106.7,26.3,56.1,59
Indo Borax & Chemicals Ltd.,INDOBORAX,524342,INE803D01021,170.7,Commodity Chemicals,30.6,0.5,22.5,26.7,1.4,29.8,192,,44.9,,23.9,26.2,547.8,4.1,156.3,136.4,11.1,57.5,54.5
Indo Count Industries Ltd.,ICIL,521016,INE483B01026,246.6,Textiles,-85.9,-1.3,9.2,14.9,-22.8,2,315,4525.7,31.3,0.1,30.2,20,4883,9.1,219.8,178.2,2.9,64.6,62.8
Indo Rama Synthetics (India) Ltd.,INDORAMA,500207,INE156A01020,52,Textiles,-85.9,0.1,-0.6,1,-109.1,1.6,90.8,289.1,31.3,1,33.6,2.9,1356.5,1.3,46.7,49.2,24.6,71.2,63
Indoco Remedies Ltd.,INDOCO,532612,INE873D01024,311.8,Pharmaceuticals,6.1,-1.3,8.5,17.1,-8.1,8.3,530.2,399.4,38.9,0.2,23.6,17.6,2873.7,-1.7,328.1,341.9,26.4,40.3,38.6
Indostar Capital Finance Ltd.,INDOSTAR,541336,INE896L01010,183,Finance (including NBFCs),56.2,0.1,19.2,72.3,130.6,0.5,607.8,,27.2,,-7.2,26.1,2490.3,5.4,166.4,156.6,7.2,60.8,61.7
Indraprastha Gas Ltd.,IGL,532514,INE203G01027,467,Utilities:Non-Electrical,-33.8,-13.2,9.8,14.2,9.1,81.9,602,807.8,50.2,,21.8,22.4,32693.5,-2.3,460.3,451.9,9.4,57.2,60
Indraprastha Medical Corporation Ltd.,INDRAMEDCO,532150,INE681B01017,179,Healthcare Facilities,17.7,0.3,7.8,13.6,47,24.4,186,467.2,63.6,,22.4,28.5,1640.5,15.4,135.5,100.4,3.8,77.3,77.4
Indus Towers Ltd.,INDUSTOWER,534816,INE121J01017,181.7,Other Telecom Services,-52.8,-0.4,7.2,33.6,-68,2,499.6,30.5,24.7,0.1,25.6,12.2,48967,1.4,166.9,170.4,12.6,65.9,58.8
IndusInd Bank Ltd.,INDUSINDBK,532187,INE095A01012,1416.6,Banks,41.1,0.3,20.5,32.4,54.9,16.5,2038,297.1,18.8,0.9,7.4,7.5,109996.1,2.5,1372,1241.5,2,49.4,45.6
Infibeam Avenues Ltd.,INFIBEAM,539807,INE483S01020,14.8,Internet Software & Services,-99.5,0.6,7.2,8.8,61.4,55.9,60.7,,51.8,,3,5.7,3958,-0.1,14.7,15.3,27.5,49.3,51.5
Info Edge (India) Ltd.,NAUKRI,532777,INE663F01024,4372.4,Internet Software & Services,-99.5,4.4,6.8,20.8,-100.8,34.9,7465.4,1363.5,51.8,,4.3,5.8,56483.8,-72,4374.9,4148.1,12.3,49.3,47.2
Infosys Ltd.,INFY,500209,INE009A01021,1443.8,IT Consulting & Software,10.3,2.3,16.4,23.5,9,20.6,1953.9,271.9,36.4,,36,38.8,599249.4,16.9,1378.4,1408,13.7,62.8,62.9
Ingersoll-Rand (India) Ltd.,INGERRAND,500210,INE177A01018,3187.8,Industrial Machinery,-23.6,0.6,15.9,21,65.8,26.8,3334.2,915.2,50.3,,27,42.7,10063.1,86.6,2986.1,2557,4.4,58.3,59.6
Inox Green Energy Services Ltd.,INOXGREEN,543667,INE510W01014,68.6,Electric Utilities,15.7,,-8,19.5,79.3,54.6,76.4,,44.8,0.2,3.7,2,2015.6,1.4,64.8,,10.2,54.4,50.6
Inox Wind Ltd.,INOXWIND,539083,INE066P01011,206,Electric Utilities,15.7,0.6,-91,-34.2,-56,6.4,494.4,,44.8,0.5,-12.3,-10.7,6716.2,2.7,190.1,146.5,9.8,58.4,52.3
Insecticides (India) Ltd.,INSECTICID,532851,INE070I01018,506,Agrochemicals,8.6,-0.5,3.5,6.8,-41.2,19.5,792,267.9,39.9,,16.6,10.4,1497.6,16.2,471,510.7,36.1,55,54.4
Intellect Design Arena Ltd.,INTELLECT,538835,INE306R01017,733,IT Software Products,-27.4,-2.3,12,19.1,-23.4,19,986.6,,104,,22.7,17.5,10003.9,17.2,653.4,568.4,1.3,60.2,66.5
InterGlobe Aviation Ltd.,INDIGO,539448,INE646L01027,2438.9,Airlines,81.5,0.1,-0.6,11.6,95,109.6,2745.1,,24.4,,-16.1,8,94090.7,-28.7,2496.6,2244.1,11.2,42.2,40.1
International Conveyors Ltd.,INTLCONV,509709,INE575C01027,84.4,Plastic Products,-18.8,0.2,13.4,12.8,77.5,4.7,102.4,,71.8,,14,19.1,534.9,2.9,74.9,65.3,6.1,59.1,60.7
IOL Chemicals and Pharmaceuticals Ltd.,IOLCP,524164,INE485C01011,431.3,Pharmaceuticals,6.1,0.1,6.3,10.1,-17,1.2,898.9,1800,38.9,,17,13.1,2532,7.1,391.4,381.8,8.2,74.6,71.6
Ion Exchange (India) Ltd.,IONEXCHANG,500214,INE570A01022,568.4,Utilities:Non-Electrical,-33.8,2,9.8,12.6,20.9,25.5,609.8,,50.2,,32.5,30,8336.5,6,482.4,378,6.8,57.2,67.6
Ipca Laboratories Ltd.,IPCALAB,524494,INE571A01038,866.8,Pharmaceuticals,6.1,-1.4,7.9,14.5,-46.7,8,1383.1,179.6,38.9,0.1,18.5,11.6,21991.1,14.2,840.1,825.1,8.9,60,51.9
IRB Infrastructure Developers Ltd.,IRB,532947,INE821I01022,30.4,Roads & Highways,102.4,-1.5,12.9,48.2,99.2,5.5,34.9,386.4,25.7,1.1,6.7,7,18358.6,0.6,26.7,26.6,12.9,71,63.3
Ircon International Ltd.,IRCON,541956,INE962Y01021,118.7,Construction & Engineering,43.8,0.6,7.1,6.5,29.2,41.7,119.8,,32.4,0.3,10.4,11.8,11163.9,5.3,97,75.2,0.9,69.5,69.7
ISGEC Heavy Engineering Ltd.,ISGEC,533033,INE858B01029,694.4,Industrial Machinery,-23.6,0.2,3.2,7.1,80.6,16.3,878.4,,50.3,0.2,7.4,11.5,5105.9,-1.8,688.5,585.8,9.6,46.5,44.3
ITC Ltd.,ITC,500875,INE154A01025,441,Cigarettes-Tobacco Products,26.3,1.3,27.4,35.2,25.9,16.7,499.7,114.3,27.2,,31.9,35.8,549999.8,-5.1,451.1,406.5,11.7,40.9,38.5
ITD Cementation India Ltd.,ITDCEM,509496,INE686A01026,234.4,Construction & Engineering,43.8,0.3,1.8,7.8,80.6,34,249.6,1515.1,32.4,0.1,15.7,21.3,4025.8,9,186.8,145.9,6.1,65.4,68.4
ITI Ltd.,ITI,523610,INE248A01017,120.4,Telecom Equipment,-62.6,0.1,-25.8,-10.6,-400.6,-31.5,164.9,833.3,44,0.1,10.2,-5.2,11569.1,1.8,112.8,106.9,4.1,58.3,61.8
J B Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,506943,INE572A01028,2796.2,Pharmaceuticals,6.1,2.4,13,22,6.4,28.2,2937,3272.9,38.9,0.2,22.9,19.7,21660.1,83.4,2552.7,2209.3,4.8,55.9,57.2
J Kumar Infraprojects Ltd.,JKIL,532940,INE576I01022,419.9,Construction & Engineering,43.8,0.5,6.5,14.1,33.3,19.2,448.5,438,32.4,,17.7,18.6,3177.2,16.2,360.4,301.7,1.8,69.7,69.9
Jagran Prakashan Ltd.,JAGRAN,532705,INE199G01027,107.9,Publishing,-22.6,-0.5,10.6,12.9,-10.2,16.6,213,30.6,23,,11,11.2,2348.5,3.3,97,80.9,8.2,61.3,59.6
Jagsonpal Pharmaceuticals Ltd.,JAGSNPHARM,507789,INE048B01027,422.2,Pharmaceuticals,6.1,0.3,11.3,14.1,36.4,5.7,514.8,4987.3,38.9,,20.6,23.1,1106.2,6.4,417.9,367,18,55.1,52.2
Jai Balaji Industries Ltd.,JAIBALAJI,532976,INE091G01018,283.8,Iron & Steel/Interm.Products,-69.2,0.1,0.9,4.2,20.3,31.8,283.8,1333.6,43.5,1.1,-13.6,16,4554.4,27.7,170.7,98.1,,81.6,83.9
Jai Corp Ltd.,JAICORPLTD,512237,INE070D01027,241.6,Plastic Products,-18.8,1.4,-0.8,8.4,-125.9,-16.2,249.3,501.9,71.8,,4,4.4,4312.2,15.4,193.3,164.9,3.1,72.6,76.6
Jain Irrigation Systems Ltd.,JISLJALEQS,500219,INE175A01038,62.3,Plastic Products,-18.8,,15,11.2,154.8,-19.3,150.4,23.9,71.8,0.3,5.3,6.2,4158.3,5.3,50.4,40.9,9.4,72,66.5
Jaiprakash Associates Ltd.,JPASSOCIAT,532532,INE455F01025,11.2,Construction & Engineering,43.8,,-18.8,8.4,9.2,-0.2,89.9,-66,32.4,-10.7,-2,2.2,2761.4,0.6,8.4,8.4,10,74.7,69.4
Jaiprakash Power Ventures Ltd.,JPPOWER,532627,INE351F01018,8.2,Electric Utilities,15.7,-11.2,1,18.9,-48.4,21.9,26.6,-36.7,44.8,0.4,5.7,5.4,5619.8,0.4,6.9,6.6,13.2,68.4,64.8
Jammu & Kashmir Bank Ltd.,J&KBANK,532209,INE168A01041,88.9,Banks,41.1,,12.8,18.4,138.6,15,195.5,-20.3,18.8,0.3,4.2,4.8,9169.9,5.3,74.3,58.4,6.4,62,67.7
Jamna Auto Industries Ltd.,JAMNAAUTO,520051,INE039C01032,121.6,Auto Parts & Equipment,-1.9,2.5,7.2,11.2,19.6,35.7,135.5,1927.5,54.4,,26.6,28.1,4851.8,1.8,109.2,106.3,4,64,69.8
